1720		STESKU	Stercorarius skua	Isokihu	Storlabb	Great Skua
1730		FRAARC	Fratercula arctica	Lunni	Lunnefågel	Atlantic Puffin
1740		SYNANT	Synthliboramphus antiquus	Mustakurkkumurri	Kragalka	Ancient Murrelet
1750		CEPGRY	Cepphus grylle	Riskilä	Tobisgrissla	Black Guillemot
1760		ALCTOR	Alca torda	Ruokki	Tordmule	Razorbill
1770		ALLALL	Alle alle	Pikkuruokki	Alkekung	Little Auk
1780		URILOM	Uria lomvia	Pohjankiisla	Spetsbergsgrissla	Thick-billed Murre
1790		URIAAL	Uria aalge	Etelänkiisla	Sillgrissla	Common Murre
1800		STEALB	Sternula albifrons	Pikkutiira	Småtärna	Little Tern
1810		HYDCAS	Hydroprogne caspia	Räyskä	Skräntärna	Caspian Tern
1820		GELNIL	Gelochelidon nilotica	Hietatiira	Sandtärna	Gull-billed Tern
1830		CHLHYB	Chlidonias hybrida	Valkoposkitiira	Skäggtärna	Whiskered Tern
1840		CHLLEU	Chlidonias leucopterus	Valkosiipitiira	Vitvingad tärna	White-winged Tern
1850		CHLNIG	Chlidonias niger	Mustatiira	Svarttärna	Black Tern
1860		THASAN	Thalasseus sandvicensis	Riuttatiira	Kentsk tärna	Sandwich Tern
1870		STEAEA	Sterna paradisaea	Lapintiira	Silvertärna	Arctic Tern
1880		STEHIR	Sterna hirundo	Kalatiira	Fisktärna	Common Tern
1890		HYDMIN	Hydrocoloeus minutus	Pikkulokki	Dvärgmås	Little Gull
1900		RHOROS	Rhodostethia rosea	Ruusulokki	Rosenmås	Ross's Gull
1910		RISTRI	Rissa tridactyla	Pikkukajava	Tretåig mås	Black-legged Kittiwake
1920		XEMSAB	Xema sabini	Tiiralokki	Tärnmås	Sabine's Gull
1930		PAGEBU	Pagophila eburnea	Jäälokki	Ismås	Ivory Gull
1940		CHRGEN	Chroicocephalus genei	Kaitanokkalokki	Långnäbbad mås	Slender-billed Gull
1950		CHRRID	Chroicocephalus ridibundus	Naurulokki	Skrattmås	Black-headed Gull
1960		LEUATR	Leucophaeus atricilla	Nokisiipilokki	Sotvingad mås	Laughing Gull
1970		LEUPIP	Leucophaeus pipixcan	Preerianaurulokki	Präriemås	Franklin's Gull
1980		ICHAUD	Ichthyaetus audouinii	Välimerenlokki	Rödnäbbad trut	Audouin's Gull
1990		ICHMEL	Ichthyaetus melanocephalus	Mustanmerenlokki	Svarthuvad mås	Mediterranean Gull
2000		LARCAN	Larus canus	Kalalokki	Fiskmås	Common Gull
2010		LARCAC	Larus cachinnans	Aroharmaalokki	Kaspisk trut	Caspian Gull
2020		LARARG	Larus argentatus	Harmaalokki	Gråtrut	European Herring Gull
2030		LARMIC	Larus michahellis	Etelänharmaalokki	Medelhavstrut	Yellow-legged Gull
2040		LARMAR	Larus marinus	Merilokki	Havstrut	Great Black-backed Gull
2050		LARHYP	Larus hyperboreus	Isolokki	Vittrut	Glaucous Gull
2060		LARFUS	Larus fuscus	Selkälokki	Silltrut	Lesser Black-backed Gull
2070		LARSCH	Larus schistisagus	Ohotanlokki	Skiffertrut	Slaty-backed Gull
2080		LARGLA	Larus glaucoides	Grönlanninlokki	Vitvingad trut	Iceland Gull
2090		Lahko	Gaviiformes	Kuikkalinnut				
2100		GAVSTE	Gavia stellata	Kaakkuri	Smålom	Red-throated Loon
2110		GAVIMM	Gavia immer	Amerikanjääkuikka	Svartnäbbad islom	Common Loon
2120		GAVADA	Gavia adamsii	Jääkuikka	Vitnäbbad islom	Yellow-billed Loon
2130		GAVPAC	Gavia pacifica	Tundrakuikka	Stillahavslom	Pacific Loon
2140		GAVARC	Gavia arctica	Kuikka	Storlom	Black-throated Loon
2150		Lahko	Procellariiformes	Ulappalinnut				
2160		HYDPEL	Hydrobates pelagicus	Merikeiju	Stormsvala	European Storm Petrel
2170		HYDLEU	Hydrobates leucorhous	Myrskykeiju	Klykstjärtad stormsvala	Leach's Storm Petrel
2180		FULGLA	Fulmarus glacialis	Myrskylintu	Stormfågel	Northern Fulmar
2190		ARDGRI	Ardenna grisea	Nokiliitäjä	Grålira	Sooty Shearwater
2200		ARDVIS	Ardenna gravis	Isoliitäjä	Större lira	Great Shearwater
2210		PUFPUF	Puffinus puffinus	Pikkuliitäjä	Mindre lira	Manx Shearwater
2220		Lahko	Ciconiiformes	Kattohaikaralinnut				
2230		CICNIG	Ciconia nigra	Mustahaikara	Svart stork	Black Stork
2240		CICCIC	Ciconia ciconia	Kattohaikara	Vit stork	White Stork
2250		Lahko	Suliformes	Suulalinnut				
2260		MORBAS	Morus bassanus	Suula	Havssula	Northern Gannet
2270		MICPYG	Microcarbo pygmaeus	Pikkumerimetso	Dvärgskarv	Pygmy Cormorant
2280		GULARI	Gulosus aristotelis	Karimetso	Toppskarv	European Shag
2290		PHACAR	Phalacrocorax carbo	Merimetso	Storskarv	Great Cormorant
2300		Lahko	Pelecaniformes	Pelikaanilinnut				
2310		PLEFAL	Plegadis falcinellus	Pronssi-iibis	Bronsibis	Glossy Ibis
2320		PLALEU	Platalea leucorodia	Kapustahaikara	Skedstork	Eurasian Spoonbill
2330		PELONO	Pelecanus onocrotalus	Pelikaani	Vit pelikan	Great White Pelican
2340		PELCRI	Pelecanus crispus	Kiharapelikaani	Krushuvad pelikan	Dalmatian Pelican
2350		BOTSTE	Botaurus stellaris	Kaulushaikara	Rördrom	Eurasian Bittern
2360		BOTMIN	Botaurus minutus	Pikkuhaikara	Dvärgrördrom	Little Bittern
2370		EGRGAR	Egretta garzetta	Silkkihaikara	Silkeshäger	Little Egret
2380		NYCNYC	Nycticorax nycticorax	Yöhaikara	Natthäger	Black-crowned Night Heron
2390		ARDRAL	Ardeola ralloides	Rääkkähaikara	Rallhäger	Squacco Heron
2400		ARDALB	Ardea alba	Jalohaikara	Ägretthäger	Great Egret
2410		ARDIBI	Ardea ibis	Lehmähaikara	Kohäger	Western Cattle Egret
2420		ARDPUR	Ardea purpurea	Ruskohaikara	Purpurhäger	Purple Heron
2430		ARDCIN	Ardea cinerea	Harmaahaikara	Gråhäger	Grey Heron
2440		Lahko	Caprimulgiformes	Kehrääjälinnut				
2450		CAPEUR	Caprimulgus europaeus	Kehrääjä	Nattskärra	European Nightjar
2460		Lahko	Apodiformes	Kirskulinnut				
2470		HIRCAU	Hirundapus caudacutus	Piikkipyrstökiitäjä	Taggstjärtseglare	White-throated Needletail
2480		TACMEL	Tachymarptis melba	Alppikiitäjä	Alpseglare	Alpine Swift
2490		APUCAF	Apus caffer	Häätökiitäjä	Vitgumpseglare	White-rumped Swift
2500		APUAPU	Apus apus	Tervapääsky	Tornseglare	Common Swift
